Name,Min_OS,Recom_OS,Min_Direct_X,Min_HDD_Space,Recom_CPU_Max_Temp,Recom_HDD_Space,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Recom_CPU_Max_Temp,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth
Fuser,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,10 GB,84.0,10 GB,18.0,4.0,3.7,14.5,84.0,1024.0,1375.0,11.15,16.5,45.5,88.0
Lumberjack Simulator,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,2 GB,36.5,2 GB,45.0,4.0,3.5,18.0,36.5,1024.0,1751.5,12.05,28.5,71.0,56.1
ShockRods,Windows 7 64-bit,Windows 10 64-bit,DirectX 12,5 GB,0.0,5 GB,14.0,4.0,3.8,13.0,0.0,1024.0,1751.0,12.05,33.0,62.5,56.05
Ashes Cricket 2013,Windows Vista 32-bit,Windows 7 64-bit,DirectX 9,11 GB,70.0,11 GB,38.5,2.5,3.05,38.5,70.0,768.0,900.0,10.55,7.5,20.5,72.0
The Lego Movie 2 Videogame,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,8 GB,72.5,6 GB,130.0,1.0,2.55,65.0,72.5,192.0,300.0,9.0,1.0,1.0,7.6
Demons Souls Remake,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,25 GB,36.5,25 GB,32.0,4.0,3.4,23.0,36.5,2560.0,1376.0,11.1,29.5,94.5,216.15
Windlands,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,3 GB,36.5,3 GB,55.0,2.0,3.65,27.0,36.5,640.0,946.5,10.05,12.0,21.5,75.0
Akaneiro: Demon Hunters,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,4 GB,0.0,4 GB,180.0,1.0,2.03,155.0,0.0,320.0,550.0,9.5,1.0,2.5,6.8
Furious Seas,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,8 GB,36.5,8 GB,18.0,4.0,3.75,27.0,36.5,4096.0,1751.0,12.05,43.0,124.5,168.05
Pole Position 2012,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,37.0,1 GB,65.0,2.0,2.615,45.0,37.0,256.0,500.0,9.5,1.0,2.5,16.0
Bastion,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,0.0,1.6 GB,55.0,2.0,2.63,90.0,0.0,256.0,416.5,9.55,1.0,1.0,6.65
Fallout 4,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,30 GB,36.5,30 GB,38.5,4.0,4.15,11.0,36.5,1536.0,1112.5,11.05,27.0,54.5,126.0
Unavowed,Windows XP 32-bit,Windows XP 32-bit,DirectX 5,3 GB,66.5,3 GB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Time To Stop Time,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,20 GB,34.5,20 GB,32.0,5.0,3.55,32.0,34.5,1024.0,1051.0,11.0,13.5,29.5,67.25
Company of Heroes,Windows XP 32-bit,0,DirectX 9,6.5 GB,32.5,0,180.0,1.0,2.4,90.0,32.5,320.0,550.0,9.5,1.0,2.5,6.8
Steep: 90's,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,25 GB,52.5,25 GB,32.0,5.0,3.75,27.0,52.5,2048.0,1376.0,11.55,20.5,69.5,112.1
Atelier Escha & Logy: Alchemists of the Dusk Sky DX,Windows 8 64-bit,Windows 10 64-bit,DirectX 11,17 GB,36.5,17 GB,38.5,3.0,3.7,32.0,36.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
The Day Before,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,75 GB,0.0,75 GB,27.0,5.0,3.35,14.0,0.0,2048.0,1576.5,12.05,34.5,68.5,145.7
Armored Warfare,Windows Vista 32-bit,Windows 7 64-bit,DirectX 9,10 GB,71.5,10 GB,55.0,2.0,2.9000000000000004,33.5,71.5,512.0,600.0,10.05,4.5,14.0,19.200000000000003
Out of the Park Baseball 19,Windows Vista 32-bit,Windows 7 64-bit,DirectX 9,7 GB,72.0,20 GB,130.0,1.0,2.615,45.0,72.0,192.0,700.0,9.5,3.5,6.0,33.599999999999994
Killing Room,Windows 7 64-bit,Windows 7 64-bit,DirectX 9,5 GB,69.5,5 GB,33.5,2.5,2.9,38.5,69.5,1536.0,1075.0,11.15,6.0,14.5,34.4
Slay the Spire,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0,66.5,0,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Barn Finders,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,21 GB,36.5,21 GB,27.0,6.0,3.3,18.0,36.5,2048.0,1451.0,11.15,29.0,97.0,161.7
Chaos on Deponia,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,5 GB,36.0,5 GB,130.0,1.0,2.7,77.5,36.0,512.0,595.0,10.55,3.5,6.5,9.5
Rain Island: Orange,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,1 GB,0.0,1 GB,32.0,6.0,3.6,14.0,0.0,4096.0,1126.5,12.0,71.0,190.0,368.2
