Name,Min_OS,Recom_OS,Min_Direct_X,Min_HDD_Space,Recom_CPU_Max_Temp,Recom_HDD_Space,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Recom_CPU_Max_Temp,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth
Age of Darkness: Final Stand,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,5 GB,0.0,5 GB,23.0,7.0,3.35,7.0,0.0,4096.0,1751.5,12.0,53.5,152.5,224.2
Myst (2021),Windows 10 64-bit,Windows 10 64-bit,DirectX 11,20 GB,36.5,20 GB,14.0,3.0,3.4,18.0,36.5,4096.0,1751.0,12.05,42.5,113.0,168.05
Griefhelm,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,4 GB,69.5,4 GB,55.0,4.0,2.75,38.5,69.5,1152.0,943.5,11.0,26.5,42.0,134.15
Gleamlight,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,10 GB,36.5,10 GB,27.0,4.0,3.4,27.0,36.5,2560.0,1501.0,11.15,32.5,113.5,240.15
Sherlock Holmes Chapter One,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,40 GB,36.5,40 GB,38.5,3.0,3.75,27.0,36.5,2048.0,1487.5,11.6,17.5,53.5,95.2
Titan Quest: Immortal Throne,Windows 2000,Windows XP 32-bit,DirectX 9,5 GB,0.0,5 GB,180.0,1.0,2.5835,110.0,0.0,64.0,375.0,8.1,0.0,0.0,6.0
Argo,Windows Vista 32-bit,Windows 7 64-bit,DirectX 10,15 GB,67.5,25 GB,77.5,2.0,2.9,38.5,67.5,384.0,865.0,10.05,10.5,22.5,42.1
StarCraft II: Wings of Liberty,Windows XP 32-bit,Windows Vista 32-bit,DirectX 9,12 GB,35.5,12 GB,130.0,1.0,2.15,65.0,35.5,384.0,450.0,10.0,8.5,10.5,43.2
Crowns and Pawns: Kingdom of Deceit,Windows 7 64-bit,Windows 10 64-bit,DirectX 10,4 GB,30.5,4 GB,180.0,1.0,2.8,55.0,30.5,256.0,600.0,10.0,2.0,3.0,8.0
Dirt 3,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,15 GB,36.5,15 GB,65.0,2.0,2.95,45.0,36.5,256.0,600.0,10.0,3.0,7.0,19.2
Dear Esther: Landmark Edition,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,30.0,2 GB,90.0,1.0,2.65,65.0,30.0,128.0,237.5,9.0,0.0,0.0,3.8
Franchise Hockey Manager 4,Windows 7 64-bit,Windows 10 64-bit,DirectX 10,6 GB,30.5,6 GB,180.0,1.0,2.8,55.0,30.5,256.0,600.0,10.0,2.0,3.0,8.0
Headlander,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,2 GB,37.0,2 GB,65.0,2.0,3.23,45.0,37.0,128.0,255.0,10.05,4.0,14.0,8.15
Dishonored II,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,60 GB,36.5,60 GB,32.0,6.0,3.7,27.0,36.5,2560.0,1438.5,11.1,27.5,100.5,204.1
Dr Who Episode 5 - The Gunpowder Plot,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1.5 GB,66.5,1.5 GB,130.0,1.0,1.85,65.0,66.5,192.0,525.0,9.5,1.5,3.0,16.799999999999997
Terminator: Resistance,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,32 GB,0.0,32 GB,27.0,5.0,3.1,13.0,0.0,2048.0,1751.0,12.05,33.5,70.0,112.05
Alder's Blood,Windows 7 32-bit,Windows 10 64-bit,DirectX 9,2 GB,30.5,2 GB,155.0,1.0,2.8,55.0,30.5,640.0,946.5,10.05,12.0,21.5,75.0
Teslagrad,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,66.5,1 GB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Survivor Squad,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,66.5,1 GB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Total War: Warhammer 2 - Tretch Craventail,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,60 GB,36.5,60 GB,65.0,2.5,3.6,27.0,36.5,1024.0,1050.0,11.5,18.0,36.0,96.0
Football Manager 2020,Windows Vista 32-bit,Windows 7 64-bit,DirectX 9,7 GB,72.0,7 GB,130.0,1.0,2.615,45.0,72.0,512.0,650.0,10.05,4.5,9.0,24.8
Walker,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,36.0,1 GB,180.0,1.0,1.85,65.0,36.0,320.0,550.0,9.5,1.0,2.5,6.8
Jupiter Hell,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,2 GB,71.0,2 GB,55.0,2.0,2.5,55.0,71.0,1280.0,850.0,11.0,3.0,4.0,20.8
Chompy Chomp Chomp,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
MotoGP 17,Windows 7 64-bit,Windows 10 64-bit,DirectX 10,33 GB,36.5,33 GB,38.5,4.0,4.05,11.0,36.5,2048.0,845.5,11.0,10.0,24.0,27.05
Wasteland 3,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,55 GB,36.5,55 GB,32.0,6.0,3.4,18.0,36.5,2560.0,1438.5,11.1,31.5,108.5,228.15
The Room VR: A Dark Matter,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,4 GB,36.5,4 GB,23.0,3.0,3.4,18.0,36.5,4096.0,1701.0,12.05,42.0,110.5,161.64999999999998
Planetary Annihilation: TITANS,Windows 7 64-bit,Windows 7 64-bit,DirectX 9,5 GB,36.5,7 GB,38.5,3.0,3.5,32.0,36.5,768.0,900.0,11.0,3.5,11.0,57.6
Whispering Willows,Windows 7 32-bit,Windows 7 64-bit,DirectX 9,3 GB,37.0,3 GB,65.0,2.0,3.23,45.0,37.0,128.0,655.0,10.5,4.5,15.5,20.950000000000003
Mighty Goose,Windows 7 64-bit,Windows 10 64-bit,DirectX 9,1 GB,32.5,1 GB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
Inscryption,Windows 7 64-bit,Windows 10 64-bit,,2 GB,33.5,3 GB,38.5,4.0,3.7,27.0,33.5,1024.0,1012.5,11.0,23.5,33.0,113.2
Pagan Peak VR,Windows 10 64-bit,Windows 10 64-bit,DirectX 12,16 GB,50.0,16 GB,14.0,4.0,3.4000000000000004,14.0,50.0,5120.0,1876.0,12.05,62.5,165.0,208.1
Homefront: The Revolution,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,38 GB,36.5,38 GB,27.0,4.0,3.4,32.0,36.5,1536.0,1313.5,11.5,22.0,57.5,116.15
Soccer Manager 2016,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,3 GB,66.5,3 GB,180.0,1.0,2.1,77.5,66.5,192.0,562.5,9.0,2.5,2.5,29.2
Year Walk,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,1.1 GB,35.0,1.1 GB,180.0,1.0,2.8,97.5,35.0,320.0,550.0,9.5,1.0,2.5,6.8
Dragon Knights,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,3 GB,37.0,5 GB,110.0,1.0,2.9,45.0,37.0,384.0,750.0,9.55,0.0,0.0,24.0
The Next Door,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,1 GB,32.5,1 GB,65.0,2.0,3.2,33.5,32.5,2048.0,1200.0,11.15,12.5,29.5,76.8
RuneScape 3,Windows Vista 64-bit,Windows 10 64-bit,DirectX 10,8 GB,70.0,8 GB,38.5,3.0,2.85,38.5,70.0,1280.0,716.5,11.0,3.0,4.0,18.65
Trine 2,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1.5 GB,30.0,1.5 GB,55.0,2.0,2.65,65.0,30.0,256.0,675.0,9.55,1.5,1.5,14.0
Dark Quest 2,Windows 7 32-bit,Windows 10 64-bit,DirectX 9,2 GB,66.5,2 GB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Spirit of the North,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,4 GB,36.5,4 GB,27.0,6.0,3.35,27.0,36.5,2560.0,1501.5,11.6,34.0,89.5,176.1
Fallout 3: Broken Steel,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,66.5,2 GB,130.0,1.0,1.85,65.0,66.5,256.0,790.0,9.0,3.0,3.0,50.55
Life After Us: Fading Light,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Court of Ashes,Windows 7 64-bit,Windows 10 64-bit,DirectX 10,2 GB,30.5,2 GB,180.0,1.0,2.8,55.0,30.5,256.0,600.0,10.0,2.0,3.0,8.0
Sokobond,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Medieval Kingdom Wars,Windows Vista 32-bit,Windows 7 64-bit,DirectX 9,5 GB,72.0,7 GB,55.0,2.0,2.6,55.0,72.0,1024.0,900.0,11.0,4.0,13.5,28.8
Age of Civilizations 2,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,1 GB,69.5,1 GB,33.5,2.5,2.9,38.5,69.5,2048.0,1012.5,12.0,11.5,24.5,50.4
Outlast 2,Windows Vista 64-bit,Windows 7 64-bit,DirectX 10,30 GB,71.5,30 GB,38.5,2.5,2.8,32.0,71.5,704.0,949.5,10.05,14.0,35.5,113.55
Final Approach,Windows 7 64-bit,Windows 7 64-bit,,20 GB,36.5,20 GB,27.0,6.0,4.05,11.0,36.5,4096.0,1501.5,11.6,63.5,137.5,272.2
Ground Control Simulator,Windows 2000,Windows XP 32-bit,DirectX 9,0MB,0.0,0MB,180.0,1.0,1.83,155.0,0.0,256.0,450.0,9.55,1.0,1.0,7.2
Salem,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,3 GB,35.0,3 GB,65.0,2.0,2.7,38.5,35.0,128.0,721.5,10.5,4.0,14.0,23.1
TrackMania 2: Canyon,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,15 GB,61.0,15 GB,180.0,1.0,2.75,65.0,61.0,128.0,0.0,10.0,1.0,1.0,0.0
NBA 2K21,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,110 GB,36.5,110 GB,32.0,3.0,3.55,27.0,36.5,1024.0,1013.5,11.05,14.5,32.5,64.85
Red Orchestra: Ostfront 41-45,Windows XP 32-bit,0,DirectX 9,2 GB,0.0,0,180.0,1.0,2.2,130.0,0.0,320.0,550.0,9.5,1.0,2.5,6.8
DeltaOne,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Game of Thrones: Episode 2 - The Lost Lords,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,3 GB,32.5,3 GB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
Inmost,Windows 7 32-bit,Windows 10 64-bit,DirectX 9,4 GB,30.5,4 GB,55.0,2.0,2.8,55.0,30.5,512.0,900.0,11.0,4.5,14.5,57.6
Nioh: Complete Edition,Windows 10 64-bit,0,DirectX 11,100 GB,36.5,100 GB,18.0,4.0,3.45,18.0,36.5,3072.0,1376.0,11.1,36.5,138.5,264.2
Total War: Rome II - Caesar in Gaul,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,35 GB,66.0,35 GB,65.0,2.0,2.95,38.5,66.0,384.0,750.0,10.05,3.0,7.0,17.6
BioShock™ 2 Remastered,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,25 GB,66.5,25 GB,65.0,2.0,3.1,45.0,66.5,2048.0,1313.5,11.1,23.5,75.0,132.15
The Purring Quest,Windows 7 32-bit,Windows 7 64-bit,DirectX 9,3 GB,67.5,3 GB,67.5,2.0,2.35,48.5,67.5,320.0,550.0,9.5,1.0,2.5,6.8
Afterparty,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,40 GB,36.5,40 GB,38.5,3.0,3.75,27.0,36.5,2048.0,1487.5,11.6,17.5,53.5,95.2
Agatha Christie - Hercule Poirot: The First Cases,Windows 7 64-bit,Windows 7 64-bit,DirectX 10,10 GB,45.0,10 GB,65.0,1.0,3.4,59.0,45.0,1792.0,1251.0,11.55,33.5,69.0,192.2
Kingdom Hearts Melody of Memory,Windows 8 64-bit,Windows 8 64-bit,,15 GB,68.0,15 GB,27.0,3.0,3.3,27.0,68.0,1536.0,1437.5,11.6,17.5,48.5,92.0
Crossroads Inn,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,6 GB,36.5,6 GB,32.0,3.0,3.5,32.0,36.5,1024.0,1012.5,11.0,22.5,40.5,113.2
Wild West and Wizards,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,4 GB,70.0,4 GB,38.5,3.0,2.85,38.5,70.0,1024.0,1025.5,11.0,27.5,47.5,131.25
Retimed,Windows 7 32-bit,Windows 10 64-bit,DirectX 11,0MB,70.5,0MB,55.0,2.0,2.4,55.0,70.5,768.0,950.0,10.5,17.5,35.5,92.8
Dark And Light,Windows 7 64-bit,Windows 7 64-bit,DirectX 10,50 GB,36.5,50 GB,32.0,6.0,3.5,18.0,36.5,2048.0,1438.5,11.05,26.5,83.5,160.1
Stealthy Ninja,Windows XP 32-bit,Windows 10 64-bit,DirectX 9,0MB,71.0,0MB,55.0,2.0,2.5,55.0,71.0,256.0,533.5,10.05,1.5,2.5,17.05
Shogun 2: Total War - Fall of the Samurai: Sendai Faction Pack,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,0MB,37.0,0MB,130.0,1.0,3.165,45.0,37.0,256.0,325.0,9.5,2.0,2.0,8.4
Arons Adventure,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,15 GB,50.0,15 GB,32.0,5.0,3.5,13.0,50.0,1536.0,1437.5,11.6,17.5,48.5,92.0
Ni No Kuni 3,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,40 GB,52.5,40 GB,27.0,5.0,3.7,27.0,52.5,2048.0,1300.0,11.6,16.5,49.5,83.2
Watching Grass Grow In VR - The Game,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,0MB,36.5,0MB,27.0,6.0,4.05,11.0,36.5,4096.0,1501.5,11.6,63.5,137.5,272.2
Call of Duty 4: Modern Warfare Remastered,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,55 GB,36.0,55 GB,38.5,3.0,2.83,45.0,36.0,1536.0,950.0,11.05,20.5,37.0,88.0
Dragon Age: Origins - Return To Ostagar,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,30.0,1 GB,65.0,2.0,2.6,55.0,30.0,256.0,790.0,9.0,0.0,0.0,42.55
Path of Exile: Atlas of Worlds,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,8 GB,30.0,8 GB,90.0,1.0,2.5,77.5,30.0,192.0,712.5,9.55,1.5,1.5,15.2
Virginia,Windows 7 32-bit,Windows 10 64-bit,DirectX 11,5 GB,36.5,5 GB,29.5,3.0,3.15,32.0,36.5,1024.0,1200.0,11.15,12.5,29.5,76.8
Bunny Park,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,0MB,36.5,0MB,32.0,5.0,3.15,32.0,36.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Factorio,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0,66.5,0,55.0,2.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
The Wolf Among Us,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,36.5,2 GB,155.0,1.0,2.5,65.0,36.5,256.0,600.0,10.55,2.0,2.5,16.0
Esper 2,Windows 7 64-bit,Windows 7 64-bit,,0,50.0,0,27.0,6.0,3.85,23.0,50.0,4096.0,1501.5,11.6,63.5,137.5,272.2
The Elder Scrolls V: Hearthfire,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,1 GB,66.5,1 GB,65.0,2.0,2.83,45.0,66.5,768.0,737.5,10.05,9.0,21.0,70.4
Fears to Fathom - Home Alone,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,4 GB,36.5,4 GB,38.5,3.0,3.75,27.0,36.5,2560.0,1514.0,11.6,34.0,87.5,184.9
Plants vs Zombies: Battle for Neighborville,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,15 GB,68.5,15 GB,27.0,3.0,3.35,27.0,68.5,2048.0,895.5,11.05,10.0,24.0,28.65
The Academy: The First Riddle,Windows 10 64-bit,Windows 10 64-bit,DirectX 9,4 GB,70.0,4 GB,55.0,2.0,2.85,38.5,70.0,2048.0,1351.0,11.1,28.0,95.0,148.89999999999998
Boris The Rocket,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,4 GB,33.5,4 GB,38.5,3.0,3.45,27.0,33.5,1664.0,1075.0,11.05,30.5,62.0,152.8
Project CARS 3,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,50 GB,0.0,50 GB,27.0,6.0,3.7,13.0,0.0,2560.0,1438.5,11.1,32.0,126.5,228.15
Aery VR,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,1 GB,36.5,2 GB,27.0,6.0,3.55,18.0,36.5,4096.0,1501.5,11.6,63.5,137.5,272.2
Train Simulator 2013,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,6 GB,36.0,6 GB,55.0,2.0,3.165,45.0,36.0,768.0,750.0,10.5,6.5,9.5,35.2
99 Levels To Hell,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,1.5 GB,37.0,2 GB,65.0,2.0,3.23,45.0,37.0,128.0,255.0,10.05,4.0,14.0,8.15
Sniper Elite 3 - Target Hitler: Hunt the Grey Wolf,Windows Vista 32-bit,Windows 7 64-bit,DirectX 11,18 GB,35.5,18 GB,90.0,2.0,2.98,45.0,35.5,512.0,963.0,10.55,7.5,12.5,61.65
Dawn of Man,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,2 GB,69.5,2 GB,33.5,2.5,2.9,38.5,69.5,2048.0,1012.5,12.0,11.5,24.5,50.4
Hatoful Boyfriend: Holiday Star,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,36.5,2 GB,155.0,1.0,2.5,65.0,36.5,320.0,500.0,9.55,1.0,1.0,8.0
Star Wars: Battlefront - Rogue One: Scarif,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,40 GB,50.0,40 GB,23.0,3.0,3.7,23.0,50.0,2048.0,1351.0,11.1,26.5,69.0,148.89999999999998
Dyad,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,1.337 GB,72.0,1.337 GB,38.5,2.5,3.03,38.5,72.0,768.0,650.0,10.55,4.0,15.0,20.8
Rogue Glitch,Windows XP 64-bit,Windows 7 64-bit,DirectX 9,1 GB,67.0,1 GB,43.5,3.0,2.9000000000000004,48.5,67.0,512.0,850.0,11.0,4.0,8.0,20.0
Endless Legend - Symbiosis,Windows Vista 64-bit,Windows 7 64-bit,DirectX 9,4 GB,36.5,4 GB,55.0,3.5,3.5,32.0,36.5,1024.0,950.0,11.5,23.5,37.5,121.6
Retaliation: Enemy Mine,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Builders Of Egypt,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,20 GB,36.5,20 GB,38.5,3.0,3.5,27.0,36.5,2560.0,1563.5,11.55,32.5,128.5,244.15
Brawl Busters,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,66.5,3 GB,155.0,1.0,1.85,65.0,66.5,128.0,375.0,9.0,0.0,0.0,6.0
Grimm Ep 15 - The Pied Piper,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Dead Alliance,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,15 GB,69.5,15 GB,33.5,2.5,2.9,38.5,69.5,1536.0,1375.0,11.6,17.0,42.5,88.0
Drift21,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,20 GB,36.5,20 GB,27.0,6.0,3.35,27.0,36.5,4096.0,1751.5,12.0,53.5,152.5,224.2
Train Simulator 2012: Class 77 and 76 Add-On,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,36.0,0MB,130.0,1.0,1.85,65.0,36.0,256.0,400.0,10.5,3.5,4.5,9.6
Dead by Daylight,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,15 GB,36.5,0,27.0,5.0,3.15,27.0,36.5,1024.0,950.0,11.5,23.5,37.5,121.6
Test Drive Unlimited 2,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,14 GB,36.5,14 GB,65.0,2.0,2.75,65.0,36.5,768.0,550.0,10.05,7.5,16.5,28.8
Battlefield 2142,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,32.5,4 GB,155.0,1.0,2.6,90.0,32.5,192.0,260.0,9.0,0.0,0.0,4.15
Outbreak Pandemic Evolution,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,15 GB,36.5,0,38.5,3.0,3.7,32.0,36.5,1536.0,1375.0,11.2,16.5,41.5,88.0
Blood Bowl: Chaos Edition,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,3 GB,66.5,3 GB,130.0,1.0,1.88,65.0,66.5,128.0,200.0,10.05,2.0,2.0,6.4
New World,Windows 10 64-bit,Windows 10 64-bit,DirectX 12,35 GB,36.5,35 GB,32.0,4.0,3.45,23.0,36.5,2560.0,1376.0,11.1,30.5,107.0,216.15
Dead Rising Remastered,Windows 7 32-bit,Windows 7 64-bit,DirectX 11,30 GB,36.5,30 GB,65.0,2.0,3.55,27.0,36.5,1024.0,1112.5,11.0,18.0,31.5,87.6
Quake II RTX,Windows 7 64-bit,Windows 10 64-bit,,2 GB,36.5,2 GB,27.0,6.0,3.6,17.0,36.5,7168.0,1750.0,12.05,95.5,225.0,392.0
Code Vein,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,50 GB,50.0,50 GB,32.0,6.0,3.25,14.0,50.0,2048.0,1351.0,11.1,30.5,77.0,172.95
Wrest,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,10 GB,36.5,10 GB,27.0,6.0,3.65,27.0,36.5,4096.0,1501.5,11.6,63.5,137.5,272.2
Propagation VR,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,5 GB,36.5,5 GB,32.0,5.0,3.55,18.0,36.5,7168.0,2001.0,12.05,61.5,159.5,224.1
Doctor Who: The Eternity Clock,Windows XP 32-bit,Windows XP 64-bit,DirectX 9,1.7 GB,0.0,1.7 GB,77.5,2.0,2.6,45.0,0.0,768.0,890.0,10.55,20.0,27.5,102.55
Guns of Icarus,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,3 GB,0.0,3 GB,155.0,1.0,1.73,155.0,0.0,256.0,412.5,9.5,1.0,2.5,13.2
Arcane Worlds,Windows XP 32-bit,Windows Vista 32-bit,DirectX 9,0,66.5,0,110.0,1.0,2.1,77.5,66.5,160.0,262.5,9.0,0.0,0.0,3.2
Dovetail Games Flight School,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,40 GB,72.0,40 GB,38.5,2.0,2.85,38.5,72.0,768.0,715.5,11.0,2.5,4.5,11.45
Batman: Arkham Knight - Red Hood Story Pack,Windows 7 64-bit,Windows 8 64-bit,DirectX 11,45 GB,52.5,55 GB,45.0,4.0,3.7,27.0,52.5,2560.0,1376.0,11.1,25.5,86.5,192.1
Terrorist Takedown: Covert Operations,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,36.0,2 GB,180.0,1.0,1.85,65.0,36.0,320.0,550.0,9.5,1.0,2.5,6.8
Aion: Ascension,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,40 GB,72.0,40 GB,130.0,1.0,3.015,45.0,72.0,256.0,740.0,9.0,3.0,3.0,78.7
Warhammer 40000: Regicide,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,2 GB,32.5,2 GB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
Insanitys Blade,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Dishonored: Dunwall City Trials,Windows XP 64-bit,Windows 7 64-bit,DirectX 10,1 GB,70.5,1 GB,65.0,2.0,2.35,65.0,70.5,512.0,595.0,10.1,3.0,6.5,9.5
Dual Universe,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Alba: A Wildlife Adventure,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,2 GB,50.0,2 GB,32.0,5.0,3.4,14.0,50.0,1024.0,445.5,11.5,8.5,27.5,14.25
Stacking,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,1.5 GB,72.5,1.5 GB,77.5,2.0,2.2,77.5,72.5,320.0,815.0,10.05,9.0,18.5,45.75
Lego: Batman 2 - DC Super Heroes,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,4 GB,66.0,4 GB,155.0,1.0,2.13,77.5,66.0,256.0,200.0,10.55,1.5,2.0,3.2
Bloodstained: Ritual of the Night,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,10 GB,36.5,10 GB,27.0,4.0,3.4,27.0,36.5,2560.0,1501.0,11.15,32.5,113.5,240.15
BloodRayne 2,Windows 98,Windows XP 32-bit,DirectX 8,0MB,0.0,4.5 GB,180.0,1.0,1.83,155.0,0.0,96.0,375.0,7.55,0.0,0.0,6.0
Electro Ride: The Neon Racing,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,5 GB,36.0,5 GB,38.5,3.0,3.85,27.0,36.0,512.0,600.0,10.05,4.5,14.0,19.200000000000003
The Dwarves,Windows 7 64-bit,Windows 10 64-bit,,25 GB,52.5,25 GB,45.0,4.0,3.7,27.0,52.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Decisive Campaigns: The Blitzkrieg from Warsaw to Paris,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Angvik,Windows XP 32-bit,Windows 7 64-bit,DirectX 8,0,37.0,0,65.0,2.0,3.23,45.0,37.0,128.0,255.0,10.05,4.0,14.0,8.15
The Culling 2,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,8 GB,33.5,8 GB,27.0,6.0,3.9,27.0,33.5,1024.0,1125.0,11.1,20.0,43.5,104.0
A Fistful of Gun,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,10 GB,32.5,10 GB,65.0,2.0,3.2,33.5,32.5,768.0,450.0,10.6,3.0,6.5,7.2
Exodus Wars: Fractured Empire,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,5 GB,37.0,5 GB,65.0,2.0,3.23,45.0,37.0,128.0,255.0,10.05,4.0,14.0,8.15
Disintegration,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,15 GB,0.0,15 GB,23.0,4.0,3.55,10.5,0.0,1664.0,1075.0,11.05,28.5,49.5,152.8
